earnings_date,ReportedEPS,EPSBeat,target,pct_change,volatility_bin,momentum_bin
2016-11-02,2.45,0,1,0.3135049570940598,3,0
2016-11-02,0.52,1,1,0.07272727272727263,1,1
2016-11-02,0.89,0,1,0.03400621118012419,1,0
2016-11-02,0.84,1,1,0.12203614657602387,3,0
2016-11-02,1.0,1,1,0.07810552555047778,2,0
2016-11-02,0.95,1,1,0.1443722203215875,4,0
2016-11-02,0.52,1,1,0.06130680290400649,1,1
2016-11-03,3.89,1,1,0.10039004899395909,1,2
2016-11-03,1.94,1,1,0.22729140978216197,5,0
2016-11-03,-0.05,1,1,0.2364462106159525,9,0
2016-11-03,2.12,1,1,0.025029308323563954,0,0
2016-11-04,3.18,1,1,0.1836372991824367,7,1
2016-11-04,3.13,1,0,-0.015107145789430423,6,0
2016-11-07,0.64,1,1,0.09528100011262522,3,1
2016-11-08,1.59,1,1,0.02573145245559037,1,0
2016-11-09,1.38,0,1,0.18286311389759666,8,1
2016-11-15,0.59,1,1,0.11779991338241658,3,2
2016-11-22,1.12,1,1,0.050673000791765684,0,2
2017-01-17,2.11,1,1,0.07296817547863567,2,4
2017-01-23,0.73,1,0,-0.024813539873780894,2,6
2017-01-24,1.58,1,1,0.0759751773049646,0,5
2017-01-24,2.21,1,1,0.18601262748907238,6,6
2017-01-24,0.68,1,1,0.15376703522756485,3,6
2017-01-24,1.78,1,1,0.12451490380645693,2,6
2017-01-25,3.05,1,1,0.1043666546373149,9,4
2017-01-25,0.35,1,1,0.3863822805578343,8,7
2017-01-25,0.65,0,1,0.0737304687499999,2,5
2017-01-26,1.31,1,1,0.11410698878343398,1,3
2017-01-26,5.04,1,1,0.09256224147350359,6,1
2017-01-27,1.2,0,1,0.09117987754426606,5,3
2017-01-31,0.95,0,1,0.04329896907216495,6,6
2017-01-31,0.47,0,1,0.056836122513419546,2,2
2017-01-31,0.67,1,1,0.38426735218509,4,0
2017-01-31,1.05,1,0,-0.0220121539500337,0,4
2017-01-31,1.89,1,0,0.01085895558809176,7,7
2017-01-31,2.41,1,1,0.0899699228455603,1,3
2017-01-31,2.14,1,0,0.009567713316517302,7,8
2017-02-01,0.52,1,1,0.10514314669369138,3,4
2017-02-01,0.25,1,1,0.2179872952189903,8,6
2017-02-01,1.76,1,1,0.13091462641126483,4,6
2017-02-01,0.57,1,1,0.15146478287970078,2,7
2017-02-02,0.58,1,1,0.15286579355020405,3,5
2017-02-02,2.33,1,0,0.024475324526791336,2,7
2017-02-02,0.3,1,1,0.04599524187153054,3,8
2017-02-02,2.89,1,-1,-0.02871127559243122,6,7
2017-02-02,1.87,1,1,0.08338914936369717,4,7
2017-02-02,5.28,1,1,0.17608662761795657,2,5
2017-02-07,2.7,1,0,0.005686069130629889,2,3
2017-02-07,0.98,0,1,0.1470190719327225,0,5
2017-02-07,0.2,0,1,0.09891870244293162,1,3
2017-02-07,0.6,1,1,0.05998835177635396,9,8
2017-02-07,1.34,1,-1,-0.06194576532579369,6,6
2017-02-08,2.09,1,1,0.10539535333043516,4,1
2017-02-09,1.71,1,0,0.014898764803259922,7,2
2017-02-09,0.44,1,-1,-0.10003290556103986,8,9
2017-02-09,3.04,1,1,0.1920971461916803,8,0
2017-02-14,0.05,0,0,0.01215478749793285,9,9
2017-02-14,1.09,1,1,0.055876685934489516,3,6
2017-02-14,1.21,1,0,-0.005522993688007156,5,7
2017-02-14,0.53,1,1,0.13638124757845796,3,8
2017-02-15,-1.54,0,1,0.3043920292801953,8,8
2017-02-16,2.15,1,0,-0.006420947298198766,4,6
2017-02-16,0.47,1,1,0.13254618167968008,2,4
2017-02-16,0.98,1,0,-0.006726457399103181,3,2
2017-02-16,0.54,0,1,0.10706122939973543,1,4
2017-02-21,0.94,1,0,0.01980198019801985,2,7
2017-02-21,1.12,1,1,0.06870133132378797,3,7
2017-02-27,-0.16,0,-1,-0.08930211202938476,9,9
2017-02-28,1.8,0,-1,-0.0564670277158331,8,8
2017-02-28,-0.02,0,-1,-0.09278350515463919,9,1
2017-03-01,1.57,1,-1,-0.12919611307420498,7,9
2017-04-18,2.37,1,1,0.11781388478581978,0,3
2017-04-18,1.83,1,1,0.11403147400510837,0,4
2017-04-18,0.57,1,1,0.14831736126587924,0,6
2017-04-19,0.48,1,1,0.15597999090495696,0,2
2017-04-20,1.33,1,1,0.047628267182962265,0,3
2017-04-20,0.85,1,0,0.01657000828500418,0,3
2017-04-25,1.46,1,0,0.00959400959400968,0,5
2017-04-25,0.31,1,1,0.06478177326379356,4,6
2017-04-25,5.2,1,1,0.05582541610115006,2,1
2017-04-25,1.48,1,1,0.08524854982010437,0,5
2017-04-25,2.1,1,-1,-0.04718494133535919,4,3
2017-04-25,2.22,1,1,0.15434326479227853,0,4
2017-04-25,0.98,1,0,0.010869565217391424,1,3
2017-04-25,0.56,1,1,0.14560439560439573,5,5
2017-04-26,3.15,1,1,0.08093657817109137,2,0
2017-04-26,2.08,1,1,0.05140971805638885,0,4
2017-04-26,4.68,1,1,0.029276500280426238,1,6
2017-04-26,0.58,1,1,0.0894983760375316,0,5
2017-04-27,0.84,1,0,-0.013916146297948155,6,1
2017-04-27,0.48,1,1,0.1452772699573431,3,0
2017-04-27,2.13,1,1,0.03454811751529254,0,6
2017-04-27,0.6,1,-1,-0.0269477344344236,1,4
2017-04-27,0.41,1,1,0.3202874049027895,8,9
2017-04-27,0.29,0,0,0.023881728582259384,1,6
2017-04-27,0.71,0,1,0.06648036475952361,2,4
2017-04-27,0.59,0,1,0.2855444956172931,2,7
2017-04-27,1.28,1,1,0.06020624810433726,0,2
2017-04-28,0.77,1,-1,-0.0764673547914248,5,7
2017-05-01,1.53,1,-1,-0.0497328401150842,5,0
2017-05-02,1.74,0,0,-0.014725407362703669,2,3
2017-05-02,0.88,1,0,0.00395582660293382,0,2
2017-05-02,2.3,1,1,0.07228579402735132,0,5
2017-05-02,0.69,1,0,-0.016432626232446883,0,3
2017-05-02,0.79,0,-1,-0.12024078254326563,0,5
2017-05-02,0.63,1,-1,-0.0285268901013251,8,9
2017-05-02,1.17,1,0,-0.0033877038895858973,0,5
2017-05-02,0.24,1,1,0.04263848396501451,1,5
2017-05-02,-0.12,1,-1,-0.03517316017316029,9,3
2017-05-02,2.23,0,1,0.11531022169320043,3,3
